Wavelength,Intensity
292.0640175,1439.722031
292.2747691,1490.92125
292.485511,1480.681406
292.6962431,1480.681406
292.9069656,1470.441563
293.1176784,1472.489531
293.3283814,1409.0025
293.5390747,1482.729375
293.7497583,1443.817969
293.9604321,1486.825313
294.1710963,1476.585469
294.3817507,1372.139063
294.5923954,1429.482188
294.8030303,1468.393594
295.0136555,1419.242344
295.224271,1429.482188
295.4348767,1456.105781
295.6454727,1470.441563
295.8560589,1480.681406
296.0666353,1396.714688
296.2772021,1425.38625
296.487759,1435.626094
296.6983062,1409.0025
296.9088437,1495.017188
297.1193713,1425.38625
297.3298893,1447.913906
297.5403974,1447.913906
297.7508958,1519.592813
297.9613844,1454.057813
298.1718632,1458.15375
298.3823322,1421.290313
298.5927915,1456.105781
298.8032409,1435.626094
299.0136806,1423.338281
299.2241105,1540.0725
299.4345306,1454.057813
299.6449409,1466.345625
299.8553414,1443.817969
300.0657321,1529.832656
300.276113,1427.434219
300.4864841,1417.194375
300.6968454,1454.057813
300.9071969,1447.913906
301.1175385,1449.961875
301.3278704,1423.338281
301.5381924,1525.736719
301.7485046,1484.777344
301.958807,1507.305
302.1690995,1519.592813
302.3793823,1474.5375
302.5896551,1458.15375
302.7999182,1429.482188
303.0101714,1497.065156
303.2204148,1492.969219
303.4306483,1497.065156
303.640872,1464.297656
303.8510859,1552.360313
304.0612899,1402.858594
304.271484,1507.305
304.4816683,1452.009844
304.6918427,1398.762656
304.9020073,1480.681406
305.112162,1478.633438
305.3223068,1415.146406
305.5324418,1474.5375
305.7425668,1517.544844
305.9526821,1460.201719
306.1627874,1363.947188
306.3728829,1470.441563
306.5829685,1427.434219
306.7930441,1470.441563
307.00311,1449.961875
307.2131659,1521.640781
307.4232119,1406.954531
307.633248,1476.585469
307.8432743,1439.722031
308.0532906,1480.681406
308.263297,1503.209063
308.4732936,1431.530156
308.6832802,1454.057813
308.8932569,1521.640781
309.1032237,1478.633438
309.3131806,1423.338281
309.5231275,1480.681406
309.7330646,1421.290313
309.9429917,1476.585469
310.1529089,1447.913906
310.3628161,1396.714688
310.5727135,1503.209063
310.7826008,1402.858594
310.9924783,1503.209063
311.2023458,1523.68875
311.4122034,1417.194375
311.622051,1429.482188
311.8318887,1447.913906
312.0417164,1529.832656
312.2515342,1509.352969
312.461342,1484.777344
312.6711399,1472.489531
